symbol,organ_name,icb_name,exchange
PRT,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - Công ty cổ phần,Tài chính,UPCOM
BXH,Công ty Cổ phần VICEM Bao bì Hải Phòng,Công nghiệp,HNX
ACM,Công ty Cổ phần Tập đoàn Khoáng sản Á Cường,Nguyên vật liệu,UPCOM
SSH,Công ty Cổ phần Phát triển Sunshine Homes,Tài chính,UPCOM
GGG,Công ty Cổ phần Ô tô Giải Phóng,Hàng Tiêu dùng,UPCOM
FPT,Công ty Cổ phần FPT,Công nghệ Thông tin,HOSE
ECI,Công ty Cổ phần Tập đoàn ECI,Dịch vụ Tiêu dùng,HNX
FRT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Dịch vụ Tiêu dùng,HOSE
BDW,Công ty Cổ phần Cấp thoát nước Bình Định,Tiện ích Cộng đồng,UPCOM
GHC,Công ty Cổ phần Thủy điện Gia Lai,Tiện ích Cộng đồng,UPCOM
FRC,Công ty Cổ phần Lâm đặc sản xuất khẩu Quảng Nam,Nguyên vật liệu,UPCOM
FGL,Công ty Cổ phần Cà phê Gia Lai,Hàng Tiêu dùng,UPCOM
BEL,Công ty Cổ phần Điện tử Biên Hòa,Hàng Tiêu dùng,UPCOM
GIL,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Bình Thạnh,Hàng Tiêu dùng,HOSE
NBT,Công ty Cổ phần Cấp thoát nước Bến Tre,Tiện ích Cộng đồng,UPCOM
GSM,Công ty Cổ phần Thủy điện Hương Sơn,Tiện ích Cộng đồng,UPCOM
GMH,Công ty Cổ phần Minh Hưng Quảng Trị,Công nghiệp,HOSE
DP1,Công ty Cổ phần Dược phẩm Trung ương CPC1,Dược phẩm và Y tế,UPCOM
GTA,Công ty Cổ phần Chế biến Gỗ Thuận An,Nguyên vật liệu,HOSE
GAB,Công ty Cổ phần Đầu tư Khai khoáng & Quản lý Tài sản FLC,Công nghiệp,UPCOM
HID,Công ty Cổ phần Halcom Vietnam,Công nghiệp,HOSE
ACS,Công ty Cổ phần Xây lắp Thương mại 2,Công nghiệp,UPCOM
HHV,Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả,Công nghiệp,HOSE
AAS,Công ty Cổ phần Chứng khoán SmartInvest,Tài chính,UPCOM
BIG,Công ty Cổ phần Đầu tư BIG Group Holdings,Hàng Tiêu dùng,UPCOM
GMD,Công ty Cổ phần Gemadept,Công nghiệp,HOSE
GAS,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Tiện ích Cộng đồng,HOSE
LDW,Công ty Cổ phần Cấp thoát nước Lâm Đồng,Tiện ích Cộng đồng,UPCOM
FHS,Công ty Cổ phần Phát hành sách Thành phố Hồ Chí Minh - FAHASA,Dịch vụ Tiêu dùng,UPCOM
VVS,Công ty Cổ phần Đầu tư Phát triển Máy Việt Nam,Hàng Tiêu dùng,UPCOM
DHM,Công ty Cổ phần Thương mại & Khai thác Khoáng sản Dương Hiếu,Nguyên vật liệu,HOSE
ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Công nghiệp,UPCOM
ADC,Công ty Cổ phần Mĩ thuật và Truyền thông,Dịch vụ Tiêu dùng,HNX
EID,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Hà Nội,Dịch vụ Tiêu dùng,HNX
HAS,Công ty Cổ phần Hacisco,Công nghiệp,HOSE
HDG,Công ty Cổ phần Tập đoàn Hà Đô,Tài chính,HOSE
CMM,Công ty Cổ phần Camimex,Hàng Tiêu dùng,UPCOM
PGV,Tổng Công ty Phát điện 3 - Công ty Cổ phần,Tiện ích Cộng đồng,HOSE
GER,Công ty Cổ phần Thể thao Ngôi sao Geru,Nguyên vật liệu,UPCOM
GH3,Công ty Cổ phần Công trình giao thông Hà Nội,Công nghiệp,UPCOM
HAV,Công ty Cổ phần Rượu Hapro,Hàng Tiêu dùng,UPCOM
CKV,Công ty Cổ phần CokyVina,Công nghệ Thông tin,HNX
HAX,Công ty Cổ phần Dịch vụ Ô tô Hàng Xanh,Hàng Tiêu dùng,HOSE
ADP,Công ty Cổ phần Sơn Á Đông,Công nghiệp,HOSE
DND,Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,Công nghiệp,UPCOM
DTP,Công ty Cổ phần Dược phẩm CPC1 Hà Nội,Dược phẩm và Y tế,UPCOM
HCC,Công ty Cổ phần Bê tông Hòa Cầm - Intimex,Công nghiệp,HNX
CCC,Công ty Cổ Phần Xây Dựng CDC,Công nghiệp,HOSE
XDH,Công ty Cổ phần Đầu tư Xây dựng Dân dụng Hà Nội,Tài chính,UPCOM
CLC,Công ty Cổ phần Cát Lợi,Hàng Tiêu dùng,HOSE
DHP,Công ty Cổ phần Điện cơ Hải Phòng,Công nghiệp,HNX
HCD,Công ty Cổ phần Đầu tư Sản xuất và Thương mại HCD,Nguyên vật liệu,HOSE
CLG,Công ty Cổ phần Đầu tư và Phát triển Nhà đất Cotec,Tài chính,UPCOM
HDC,Công ty Cổ phần Phát triển Nhà Bà Rịa Vũng Tàu,Tài chính,HOSE
DHD,Công ty Cổ phần Dược Vật Tư Y Tế Hải Dương,Dược phẩm và Y tế,UPCOM
HEC,Công ty Cổ phần Tư vấn xây dựng Thủy Lợi II,Công nghiệp,UPCOM
HEJ,Tổng Công ty Tư vấn Xây dựng Thủy Lợi Việt Nam - CTCP,Công nghiệp,UPCOM
HEP,Công ty Cổ phần Môi trường và Công trình đô thị Huế,Công nghiệp,UPCOM
GMX,Công ty Cổ phần Gạch ngói Gốm xây dựng Mỹ Xuân,Công nghiệp,HNX
CMF,Công ty Cổ phần Thực phẩm Cholimex,Hàng Tiêu dùng,UPCOM
HPI,Công ty Cổ phần Khu công nghiệp Hiệp Phước,Tài chính,UPCOM
HMH,Công ty Cổ phần Hải Minh,Công nghiệp,HNX
GLC,Công ty Cổ phần Vàng Lào Cai,Nguyên vật liệu,UPCOM
HKB,Công ty Cổ phần Nông nghiệp và Thực phẩm Hà Nội - Kinh Bắc,Hàng Tiêu dùng,UPCOM
GLT,Công ty Cổ phần Kỹ thuật điện Toàn Cầu,Hàng Tiêu dùng,HNX
HLC,Công ty Cổ phần Than Hà Lầm - Vinacomin,Nguyên vật liệu,HNX
GMA,Công ty Cổ phần G-Automobile,Hàng Tiêu dùng,HNX
FTS,Công ty Cổ phần Chứng khoán FPT,Tài chính,HOSE
HLD,Công ty Cổ phần Đầu tư và Phát triển Bất động sản HUDLAND,Tài chính,HNX
BGW,Công ty Cổ phần Nước sạch Bắc Giang,Tiện ích Cộng đồng,UPCOM
CH5,Công ty Cổ phần Xây dựng số 5 Hà Nội,Công nghiệp,UPCOM
BHA,Công ty Cổ phần Thủy điện Bắc Hà,Tiện ích Cộng đồng,UPCOM
HLS,Công ty Cổ phần Sứ kỹ thuật Hoàng Liên Sơn,Công nghiệp,UPCOM
HLY,Công ty Cổ phần Gốm xây dựng Yên Hưng,Công nghiệp,UPCOM
HMC,Công ty Cổ phần Kim khí Thành phố Hồ Chí Minh - VNSTEEL,Nguyên vật liệu,HOSE
HMS,Công ty Cổ phần Xây dựng Bảo tàng Hồ Chí Minh,Công nghiệp,UPCOM
HMG,Công ty Cổ phần Kim Khí Hà Nội - VNSTEEL,Nguyên vật liệu,UPCOM
DSD,Công ty cổ phần DHC Suối Đôi,Dịch vụ Tiêu dùng,UPCOM
DKG,Công ty Cổ Phần Tập đoàn DamiK,Công nghiệp,UPCOM
DCH,Công ty Cổ phần Địa chính Hà Nội,Tài chính,UPCOM
HNA,Công ty Cổ phần Thủy điện Hủa Na,Tiện ích Cộng đồng,HOSE
ECO,Công ty Cổ Phần Nhựa Sinh Thái Việt Nam,Nguyên vật liệu,UPCOM
DVC,Công ty Cổ phần Thương mại dịch vụ Tổng Hợp Cảng Hải Phòng,Tiện ích Cộng đồng,UPCOM
HPB,Công ty Cổ phần Bao bì PP,Công nghiệp,UPCOM
HPH,Công ty Cổ phần Hóa Chất Hưng Phát Hà Bắc,Nguyên vật liệu,UPCOM
HPM,Công ty Cổ phần Xây dựng Thương mại và Khoáng sản Hoàng Phúc,Nguyên vật liệu,UPCOM
DNN,Công ty Cổ phần Cấp nước Đà Nẵng,Tiện ích Cộng đồng,UPCOM
TAB,Công ty Cổ phần Freco Việt Nam,Công nghiệp,UPCOM
DPH,Công ty Cổ phần Dược phẩm Hải Phòng,Dược phẩm và Y tế,UPCOM
HPT,Công ty Cổ phần Dịch vụ Công nghệ Tin học HPT,Công nghệ Thông tin,UPCOM
HRB,Công ty Cổ phần Harec Đầu tư và Thương Mại,Tài chính,UPCOM
HSI,Công ty Cổ phần Vật tư Tổng hợp và Phân bón Hóa sinh,Nguyên vật liệu,UPCOM
HSP,Công ty Cổ phần Sơn Tổng hợp Hà Nội,Công nghiệp,UPCOM
MCG,Công ty Cổ phần Năng lượng và Bất động sản MCG,Công nghiệp,UPCOM
BHH,Công ty Cổ Phần Thương Mại Bia Hà Nội - Hưng Yên 89,Hàng Tiêu dùng,UPCOM
HT1,Công ty Cổ phần Xi măng VICEM Hà Tiên,Công nghiệp,HOSE
HTI,Công ty Cổ phần Đầu tư Phát triển Hạ tầng IDICO,Công nghiệp,HOSE
HU1,Công ty Cổ phần Đầu tư và Xây dựng HUD1,Công nghiệp,HOSE
PHN,Công ty Cổ phần Pin Hà Nội,Công nghiệp,HNX
EGL,Công ty Cổ phần Môi Trường Đô Thị Gia Lâm,Công nghiệp,UPCOM
XMP,Công ty Cổ phần Thủy điện Xuân Minh,Tiện ích Cộng đồng,UPCOM
CLW,Công ty Cổ phần Cấp nước Chợ Lớn,Tiện ích Cộng đồng,HOSE
HU6,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị HUD6,Tài chính,UPCOM
NO1,Công ty Cổ phần Tâp đoàn 911,Công nghiệp,HOSE
HUT,Công ty Cổ phần Tasco,Hàng Tiêu dùng,HNX
HVA,Công ty Cổ phần Đầu tư HVA,Tài chính,UPCOM
HNP,Công ty Cổ phần Hanel Xốp Nhựa,Nguyên vật liệu,UPCOM
HVH,Công ty Cổ phần Đầu tư và Công nghệ HVC,Công nghiệp,HOSE
IBC,Công ty Cổ phần Đầu tư APAX Holdings,Tài chính,UPCOM
HC3,Công ty Cổ phần Xây dựng số 3 Hải Phòng,Công nghiệp,UPCOM
CHC,Công ty Cổ phần Cẩm Hà,Công nghiệp,UPCOM
HAH,Công ty Cổ phần Vận tải và Xếp dỡ Hải An,Công nghiệp,HOSE
APL,Công ty Cổ phần Cơ khí và Thiết bị áp lực - VVMI,Công nghiệp,UPCOM
HAI,Công ty Cổ phần Nông dược HAI,Nguyên vật liệu,UPCOM
ICF,Công ty Cổ phần Đầu tư - Thương mại - Thuỷ sản,Hàng Tiêu dùng,UPCOM
ICG,Công ty Cổ phần Xây dựng Sông Hồng,Công nghiệp,HNX
ICI,Công ty Cổ phần Đầu tư và Xây dựng Công nghiệp,Công nghiệp,UPCOM
CKA,Công ty Cổ phần Cơ khí An Giang,Công nghiệp,UPCOM
IDI,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia I.D.I,Hàng Tiêu dùng,HOSE
AGP,Công ty Cổ phần Dược phẩm AGIMEXPHARM,Dược phẩm và Y tế,UPCOM
AGM,Công ty Cổ phần Xuất nhập khẩu An Giang,Hàng Tiêu dùng,UPCOM
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,Hàng Tiêu dùng,HOSE
DPR,Công ty Cổ phần Cao su Đồng Phú,Nguyên vật liệu,HOSE
BMK,Công ty Cổ Phần Kỹ thuật Nhiệt Mèo Đen,Công nghiệp,UPCOM
DSG,Công ty Cổ phần Kính Đáp Cầu,Công nghiệp,UPCOM
IDC,Tổng Công ty IDICO - CTCP,Tài chính,HNX
IDV,Công ty Cổ phần Phát triển Hạ tầng Vĩnh Phúc,Tài chính,HNX
IFS,Công ty Cổ phần Thực phẩm Quốc tế,Hàng Tiêu dùng,UPCOM
HPX,Công ty Cổ phần Đầu tư Hải Phát,Tài chính,HOSE
IHK,Công ty Cổ phần In Hàng Không,Dịch vụ Tiêu dùng,UPCOM
APS,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,Tài chính,HNX
ILA,Công ty Cổ phần ILA,Công nghiệp,UPCOM
FDC,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,Tài chính,HOSE
HSV,Công ty Cổ phần Tập đoàn HSV Việt Nam,Nguyên vật liệu,UPCOM
IBD,Công ty Cổ phần In Tổng hợp Bình Dương,Dịch vụ Tiêu dùng,UPCOM
DDG,Công ty Cổ phần Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,Tiện ích Cộng đồng,HNX
C69,Công ty Cổ phần Xây dựng 1369,Công nghiệp,HNX
G20,Công ty Cổ phần Đầu tư Dệt may Vĩnh Phúc,Hàng Tiêu dùng,UPCOM
INN,Công ty Cổ phần Bao bì và In Nông nghiệp,Công nghiệp,HNX
HNR,Công ty Cổ phần Rượu và Nước Giải Khát Hà Nội,Hàng Tiêu dùng,UPCOM
DPS,Công ty Cổ phần Đầu tư Phát triển Sóc Sơn,Nguyên vật liệu,UPCOM
MGR,Công ty cổ phần Tập đoàn MGROUP,Tài chính,UPCOM
ILS,Công ty Cổ phần Đầu tư Thương mại và Dịch vụ Quốc tế,Công nghiệp,UPCOM
HLT,Công ty Cổ phần Dệt may Hoàng Thị Loan,Hàng Tiêu dùng,UPCOM
CDN,Công ty Cổ phần Cảng Đà Nẵng,Công nghiệp,HNX
DKW,Công ty Cổ phần Cấp nước sinh hoạt Châu Thành,Tiện ích Cộng đồng,UPCOM
BLT,Công ty Cổ phần Lương thực Bình Định,Hàng Tiêu dùng,UPCOM
DQC,Công ty Cổ phần Tập đoàn Điện Quang,Hàng Tiêu dùng,HOSE
IPA,Công ty Cổ phần Tập đoàn Đầu tư I.P.A,Công nghiệp,HNX
DBD,Công ty Cổ phần Dược - Trang thiết bị y tế Bình Định (BIDIPHAR),Dược phẩm và Y tế,HOSE
ISG,Công ty Cổ phần Vận tải biển và Hợp tác lao động Quốc Tế,Công nghiệp,UPCOM
VMK,Công ty Cổ phần Vimarko,Công nghiệp,UPCOM
ITQ,Công ty Cổ phần Tập đoàn Thiên Quang,Nguyên vật liệu,HNX
KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc,Tài chính,HOSE
CAG,Công ty Cổ phần Cảng An Giang,Công nghiệp,HNX
FOX,Công ty Cổ phần Viễn thông FPT,Viễn thông,UPCOM
PPT,Công ty cổ phần Petro Times,Tiện ích Cộng đồng,HNX
DRH,Công ty Cổ phần DRH Holdings,Tài chính,HOSE
KDC,Công ty Cổ phần Tập đoàn KIDO,Hàng Tiêu dùng,HOSE
KDH,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,Tài chính,HOSE
DC1,Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1,Công nghiệp,UPCOM
DRL,Công ty Cổ phần Thủy điện - Điện lực 3,Tiện ích Cộng đồng,HOSE
KTC,Công ty Cổ phần Thương mại Kiên Giang,Hàng Tiêu dùng,UPCOM
HIO,Công ty Cổ Phần Helio Energy,Tiện ích Cộng đồng,UPCOM
KHG,Công ty Cổ phần Tập đoàn Khải Hoàn Land,Tài chính,HOSE
C32,Công ty Cổ phần Đầu tư và Xây dựng 3-2,Công nghiệp,HOSE
DSH,Công ty Cổ Phần Đầu tư Hạ tầng Đông Sơn,Công nghiệp,UPCOM
DSC,Công ty Cổ phần Chứng khoán DSC,Tài chính,HOSE
HAT,Công ty Cổ phần Thương mại Bia Hà Nội,Hàng Tiêu dùng,HNX
TTE,Công ty Cổ phần Đầu tư Năng lượng Trường Thịnh,Tiện ích Cộng đồng,HOSE
DNT,Công ty Cổ phần Du lịch Đồng Nai,Dịch vụ Tiêu dùng,UPCOM
LTG,Công ty Cổ phần Tập đoàn Lộc Trời,Hàng Tiêu dùng,UPCOM
KHL,Công ty Cổ phần Khoáng sản và Vật liệu Xây dựng Hưng Long,Công nghiệp,UPCOM
KHP,Công ty Cổ phần Điện lực Khánh Hòa,Tiện ích Cộng đồng,HOSE
CST,Công ty Cổ phần Than Cao Sơn - TKV,Nguyên vật liệu,HNX
HAR,Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền,Tài chính,HOSE
EVE,Công ty Cổ phần Everpia,Hàng Tiêu dùng,HOSE
DIH,Công ty Cổ phần Đầu tư Phát triển Xây dựng - Hội An,Công nghiệp,HNX
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Công nghệ Thông tin,HOSE
KGM,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Dịch vụ Tiêu dùng,UPCOM
GCF,Công ty Cổ phần Thực phẩm G.C,Hàng Tiêu dùng,UPCOM
KHS,Công ty Cổ phần Kiên Hùng,Hàng Tiêu dùng,HNX
KKC,Công ty Cổ phần Tập đoàn Thành Thái,Nguyên vật liệu,HNX
KLB,Ngân hàng Thương mại Cổ phần Kiên Long,Ngân hàng,UPCOM
KLF,Công ty Cổ phần Đầu tư Thương mại và Xuất nhập khẩu CFS,Dịch vụ Tiêu dùng,UPCOM
EIC,Công ty Cổ phần EVN Quốc Tế,Công nghiệp,UPCOM
KMR,Công ty Cổ phần Mirae,Hàng Tiêu dùng,HOSE
KMT,Công ty Cổ phần Kim khí Miền Trung,Nguyên vật liệu,HNX
KOS,Công ty Cổ phần KOSY,Tài chính,HOSE
BIO,Công ty Cổ phần Vắc xin và Sinh phẩm Nha Trang,Dược phẩm và Y tế,UPCOM
KSB,Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương,Công nghiệp,HOSE
CMD,Công ty Cổ phần Vật liệu xây dựng và Trang trí nội thất TP Hồ Chí Minh,Công nghiệp,UPCOM
FLC,Công ty Cổ phần Tập đoàn FLC,Tài chính,UPCOM
KSD,Công ty Cổ phần Đầu tư DNA,Hàng Tiêu dùng,HNX
AGG,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,Tài chính,HOSE
CRC,Công ty Cổ phần Create Capital Việt Nam,Công nghiệp,HOSE
HCT,Công ty Cổ phần Thương mại - Dịch vụ - Vận tải Xi măng Hải Phòng,Công nghiệp,HNX
KSH,Công ty Cổ phần Damac GLS,Hàng Tiêu dùng,UPCOM
KHD,"Công ty Cổ phần Khai thác, Chế biến Khoáng sản Hải Dương",Nguyên vật liệu,UPCOM
C4G,Công ty Cổ phần Tập Đoàn Cienco4,Công nghiệp,UPCOM
KST,Công ty Cổ phần KASATI,Công nghệ Thông tin,HNX
HDB,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,Ngân hàng,HOSE
KSV,Tổng Công ty Khoáng sản TKV - Công ty Cổ phần,Nguyên vật liệu,HNX
HDM,Công ty Cổ phần Dệt May Huế,Hàng Tiêu dùng,UPCOM
HTM,Tổng Công ty Thương mại Hà Nội – Công ty cổ phần,Dịch vụ Tiêu dùng,UPCOM
HES,Công ty Cổ phần Dịch vụ Giải trí Hà Nội,Dịch vụ Tiêu dùng,UPCOM
DCT,Công ty Cổ phần Tấm lợp Vật liệu Xây dựng Đồng Nai,Công nghiệp,UPCOM
BWE,Công ty Cổ phần - Tổng công ty Nước - Môi trường Bình Dương,Tiện ích Cộng đồng,HOSE
KTL,Công ty Cổ phần Kim khí Thăng Long,Nguyên vật liệu,UPCOM
BKC,Công ty Cổ phần Khoáng sản Bắc Kạn,Nguyên vật liệu,HNX
KTT,Công ty Cổ phần Tập đoàn Đầu tư KTT,Công nghiệp,UPCOM
TRV,Công ty Cổ Phần Vận tải Đường sắt,Công nghiệp,UPCOM
BKG,Công ty Cổ phần Đầu tư BKG Việt Nam,Hàng Tiêu dùng,HOSE
CYC,Công ty Cổ phần Gạch men Chang Yih,Công nghiệp,UPCOM
CAR,Công ty cổ phần Tập đoàn Giáo dục Trí Việt,Công nghiệp,HNX
HBC,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,Công nghiệp,UPCOM
L18,Công ty Cổ phần Đầu tư và Xây dựng số 18,Công nghiệp,HNX
AGX,Công ty Cổ phần Thực phẩm Nông sản Xuất khẩu Sài Gòn,Dịch vụ Tiêu dùng,UPCOM
L43,Công ty Cổ phần Lilama 45.3,Công nghiệp,UPCOM
L44,Công ty Cổ phần Lilama 45.4,Công nghiệp,UPCOM
LMI,Công ty Cổ phần Đầu tư Xây dựng Lắp máy IDICO,Công nghiệp,UPCOM
LSG,Công ty Cổ phần Bất động sản Sài Gòn Vi na,Tài chính,UPCOM
LAW,Công ty Cổ phần Cấp thoát nước Long An,Tiện ích Cộng đồng,UPCOM
CMT,Công ty Cổ phần Công nghệ mạng và Truyền thông,Công nghệ Thông tin,UPCOM
C92,Công ty Cổ phần Xây dựng và Đầu tư 492,Công nghiệp,UPCOM
D11,Công ty Cổ phần Địa ốc 11,Tài chính,HNX
LAS,Công ty Cổ phần Supe Phốt phát và Hóa chất Lâm Thao,Nguyên vật liệu,HNX
EFI,Công ty Cổ phần Đầu tư Tài chính Giáo dục,Tài chính,UPCOM
DTT,Công ty Cổ phần Kỹ nghệ Đô Thành,Nguyên vật liệu,HOSE
HFX,Công ty Cổ phần Sản xuất - Xuất nhập khẩu Thanh Hà,Dịch vụ Tiêu dùng,UPCOM
BLI,Tổng Công ty Cổ phần Bảo hiểm Bảo Long,Tài chính,UPCOM
LBE,Công ty Cổ phần Thương mại và Dịch vụ LVA,Hàng Tiêu dùng,HNX
HLO,Công Ty Cổ Phần Công Nghệ Ha Lô,Công nghiệp,UPCOM
LCC,Công ty Cổ phần Xi măng Hồng Phong,Công nghiệp,UPCOM
LCD,Công ty Cổ phần Lắp máy - Thí nghiệm cơ điện,Công nghiệp,HNX
GPC,Công ty Cổ phần Tập đoàn Green+,Dược phẩm và Y tế,UPCOM
EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Ngân hàng,HOSE
LQN,Công ty Cổ phần Licogi Quảng Ngãi,Công nghiệp,UPCOM
LCM,Công ty Cổ phần Khai thác và Chế biến Khoáng sản Lào Cai,Nguyên vật liệu,UPCOM
C12,Công ty Cổ phần Cầu 12,Công nghiệp,UPCOM
CT3,Công ty Cổ phần Đầu tư và Xây dựng công trình 3,Công nghiệp,UPCOM
D2D,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2,Tài chính,HOSE
LIG,Công ty Cổ phần Licogi 13,Công nghiệp,HNX
LGC,Công ty Cổ phần Đầu tư Cầu đường CII,Công nghiệp,HOSE
LGL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,Tài chính,HOSE
LHG,Công ty Cổ phần Long Hậu,Tài chính,HOSE
LIC,Tổng Công ty LICOGI - Công ty Cổ phần,Công nghiệp,UPCOM
L12,Công ty Cổ phần Licogi 12,Công nghiệp,UPCOM
MH3,Công ty Cổ phần Khu công nghiệp Cao su Bình Long,Tài chính,UPCOM
LG9,Công ty Cổ phần Cơ giới và Xây lắp số 9,Công nghiệp,UPCOM
AMS,Công ty Cổ phần Cơ khí Xây dựng AMECC,Công nghiệp,UPCOM
HHC,Công ty Cổ phần Bánh kẹo Hải Hà,Hàng Tiêu dùng,HNX
TCH,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,Tài chính,HOSE
DAC,Công ty Cổ phần 382 Đông Anh,Công nghiệp,UPCOM
CIG,Công ty Cổ phần COMA 18,Công nghiệp,HOSE
HPO,Công ty Cổ phần Công nghiệp Hapulico,Công nghiệp,UPCOM
HLA,Công ty Cổ phần Hữu Liên Á Châu,Nguyên vật liệu,UPCOM
DAE,Công ty Cổ phần Sách Giáo dục tại Thành phố Đà Nẵng,Dịch vụ Tiêu dùng,HNX
DMC,Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO,Dược phẩm và Y tế,HOSE
LM3,Công ty Cổ phần Lilama 3,Công nghiệp,UPCOM
LM7,Công ty Cổ phần Lilama 7,Công nghiệp,UPCOM
RYG,Công ty Cổ phần Sản xuất và Đầu tư Hoàng Gia,Công nghiệp,HOSE
